accession,name
A0A0B4J2,SIK1B_HUMAN
O00141,SGK1_HUMAN
O00238,BMR1B_HUMAN
O00311,CDC7_HUMAN
O00329,PK3CD_HUMAN
O00418,EF2K_HUMAN
O00444,PLK4_HUMAN
O00506,STK25_HUMAN
O14578,CTRO_HUMAN
O14730,RIOK3_HUMAN
O14733,MP2K7_HUMAN
O14757,CHK1_HUMAN
O14874,BCKD_HUMAN
O14920,IKKB_HUMAN
O14936,CSKP_HUMAN
O14965,AURKA_HUMAN
O14976,GAK_HUMAN
O15021,MAST4_HUMAN
O15075,DCLK1_HUMAN
O15111,IKKA_HUMAN
O15146,MUSK_HUMAN
O15197,EPHB6_HUMAN
O15264,MK13_HUMAN
O15530,PDPK1_HUMAN
O43187,IRAK2_HUMAN
O43283,M3K13_HUMAN
O43293,DAPK3_HUMAN
O43318,M3K7_HUMAN
O43353,RIPK2_HUMAN
O43683,BUB1_HUMAN
O43781,DYRK3_HUMAN
O43930,PRKY_HUMAN
O60229,KALRN_HUMAN
O60285,NUAK1_HUMAN
O60307,MAST3_HUMAN
O60566,BUB1B_HUMAN
O60674,JAK2_HUMAN
O75116,ROCK2_HUMAN
O75385,ULK1_HUMAN
O75460,ERN1_HUMAN
O75582,KS6A5_HUMAN
O75676,KS6A4_HUMAN
O75716,STK16_HUMAN
O75914,PAK3_HUMAN
O75962,TRIO_HUMAN
O76039,CDKL5_HUMAN
O94768,ST17B_HUMAN
O94804,STK10_HUMAN
O94806,KPCD3_HUMAN
O94921,CDK14_HUMAN
O95382,M3K6_HUMAN
O95747,OXSR1_HUMAN
O95819,M4K4_HUMAN
O95835,LATS1_HUMAN
O96013,PAK4_HUMAN
O96017,CHK2_HUMAN
P00519,ABL1_HUMAN
P00533,EGFR_HUMAN
P00540,MOS_HUMAN
P04049,RAF1_HUMAN
P04626,ERBB2_HUMAN
P04629,NTRK1_HUMAN
P05129,KPCG_HUMAN
P05771,KPCB_HUMAN
P06213,INSR_HUMAN
P06239,LCK_HUMAN
P06241,FYN_HUMAN
P06493,CDK1_HUMAN
P07332,FES_HUMAN
P07333,CSF1R_HUMAN
P07947,YES_HUMAN
P07948,LYN_HUMAN
P07949,RET_HUMAN
P08069,IGF1R_HUMAN
P08581,MET_HUMAN
P08631,HCK_HUMAN
P08922,ROS1_HUMAN
P09619,PGFRB_HUMAN
P09769,FGR_HUMAN
P0C1S8,WEE2_HUMAN
P0C263,SBK2_HUMAN
P0C264,SBK3_HUMAN
P10398,ARAF_HUMAN
P10721,KIT_HUMAN
P11309,PIM1_HUMAN
P11362,FGFR1_HUMAN
P11801,KPSH1_HUMAN
P11802,CDK4_HUMAN
P12931,SRC_HUMAN
P14616,INSRR_HUMAN
P15056,BRAF_HUMAN
P15735,PHKG2_HUMAN
P16066,ANPRA_HUMAN
P16234,PGFRA_HUMAN
P16591,FER_HUMAN
P17252,KPCA_HUMAN
P17612,KAPCA_HUMAN
P17948,VGFR1_HUMAN
P19525,E2AK2_HUMAN
P19784,CSK22_HUMAN
P20594,ANPRB_HUMAN
P20794,MAK_HUMAN
P21127,CD11B_HUMAN
P21709,EPHA1_HUMAN
P21802,FGFR2_HUMAN
P21860,ERBB3_HUMAN
P22455,FGFR4_HUMAN
P22607,FGFR3_HUMAN
P22612,KAPCG_HUMAN
P22694,KAPCB_HUMAN
P23443,KS6B1_HUMAN
P23458,JAK1_HUMAN
P24723,KPCL_HUMAN
P24941,CDK2_HUMAN
P25092,GUC2C_HUMAN
P25098,ARBK1_HUMAN
P27037,AVR2A_HUMAN
P27361,MK03_HUMAN
P27448,MARK3_HUMAN
P28482,MK01_HUMAN
P29317,EPHA2_HUMAN
P29320,EPHA3_HUMAN
P29322,EPHA8_HUMAN
P29323,EPHB2_HUMAN
P29376,LTK_HUMAN
P29597,TYK2_HUMAN
P30291,WEE1_HUMAN
P30530,UFO_HUMAN
P31152,MK04_HUMAN
P31749,AKT1_HUMAN
P31751,AKT2_HUMAN
P32298,GRK4_HUMAN
P33981,TTK_HUMAN
P34925,RYK_HUMAN
P34947,GRK5_HUMAN
P35590,TIE1_HUMAN
P35626,ARBK2_HUMAN
P35916,VGFR3_HUMAN
P35968,VGFR2_HUMAN
P36507,MP2K2_HUMAN
P36888,FLT3_HUMAN
P36894,BMR1A_HUMAN
P36896,ACV1B_HUMAN
P36897,TGFR1_HUMAN
P37023,ACVL1_HUMAN
P37173,TGFR2_HUMAN
P41240,CSK_HUMAN
P41279,M3K8_HUMAN
P41743,KPCI_HUMAN
P42336,PK3CA_HUMAN
P42338,PK3CB_HUMAN
P42345,MTOR_HUMAN
P42679,MATK_HUMAN
P42680,TEC_HUMAN
P42681,TXK_HUMAN
P42684,ABL2_HUMAN
P42685,FRK_HUMAN
P43250,GRK6_HUMAN
P43403,ZAP70_HUMAN
P43405,KSYK_HUMAN
P45983,MK08_HUMAN
P45984,MK09_HUMAN
P45985,MP2K4_HUMAN
P46734,MP2K3_HUMAN
P48729,KC1A_HUMAN
P48730,KC1D_HUMAN
P48736,PK3CG_HUMAN
P49137,MAPK2_HUMAN
P49336,CDK8_HUMAN
P49674,KC1E_HUMAN
P49759,CLK1_HUMAN
P49760,CLK2_HUMAN
P49761,CLK3_HUMAN
P49840,GSK3A_HUMAN
P49841,GSK3B_HUMAN
P50613,CDK7_HUMAN
P50750,CDK9_HUMAN
P51451,BLK_HUMAN
P51617,IRAK1_HUMAN
P51812,KS6A3_HUMAN
P51813,BMX_HUMAN
P51817,PRKX_HUMAN
P51841,GUC2F_HUMAN
P51955,NEK2_HUMAN
P51956,NEK3_HUMAN
P51957,NEK4_HUMAN
P52333,JAK3_HUMAN
P52564,MP2K6_HUMAN
P53350,PLK1_HUMAN
P53355,DAPK1_HUMAN
P53667,LIMK1_HUMAN
P53671,LIMK2_HUMAN
P53778,MK12_HUMAN
P53779,MK10_HUMAN
P54646,AAPK2_HUMAN
P54753,EPHB3_HUMAN
P54756,EPHA5_HUMAN
P54760,EPHB4_HUMAN
P54762,EPHB1_HUMAN
P54764,EPHA4_HUMAN
P57058,HUNK_HUMAN
P57059,SIK1_HUMAN
P57078,RIPK4_HUMAN
P68400,CSK21_HUMAN
P78362,SRPK2_HUMAN
P78368,KC1G2_HUMAN
P78527,PRKDC_HUMAN
P80192,M3K9_HUMAN
Q00526,CDK3_HUMAN
Q00532,CDKL1_HUMAN
Q00534,CDK6_HUMAN
Q00535,CDK5_HUMAN
Q00536,CDK16_HUMAN
Q00537,CDK17_HUMAN
Q01973,ROR1_HUMAN
Q01974,ROR2_HUMAN
Q02156,KPCE_HUMAN
Q02750,MP2K1_HUMAN
Q02763,TIE2_HUMAN
Q02779,M3K10_HUMAN
Q02846,GUC2D_HUMAN
Q04759,KPCT_HUMAN
Q04771,ACVR1_HUMAN
Q04912,RON_HUMAN
Q05397,FAK1_HUMAN
Q05513,KPCZ_HUMAN
Q05655,KPCD_HUMAN
Q05823,RN5A_HUMAN
Q06187,BTK_HUMAN
Q06418,TYRO3_HUMAN
Q07002,CDK18_HUMAN
Q07912,ACK1_HUMAN
Q08345,DDR1_HUMAN
Q08881,ITK_HUMAN
Q09013,DMPK_HUMAN
Q12851,M4K2_HUMAN
Q12852,M3K12_HUMAN
Q12866,MERTK_HUMAN
Q13043,STK4_HUMAN
Q13131,AAPK1_HUMAN
Q13153,PAK1_HUMAN
Q13163,MP2K5_HUMAN
Q13164,MK07_HUMAN
Q13177,PAK2_HUMAN
Q13188,STK3_HUMAN
Q13233,M3K1_HUMAN
Q13237,KGP2_HUMAN
Q13308,PTK7_HUMAN
Q13315,ATM_HUMAN
Q13418,ILK_HUMAN
Q13464,ROCK1_HUMAN
Q13470,TNK1_HUMAN
Q13523,PRP4B_HUMAN
Q13535,ATR_HUMAN
Q13546,RIPK1_HUMAN
Q13554,KCC2B_HUMAN
Q13555,KCC2G_HUMAN
Q13557,KCC2D_HUMAN
Q13627,DYR1A_HUMAN
Q13705,AVR2B_HUMAN
Q13873,BMPR2_HUMAN
Q13882,PTK6_HUMAN
Q13976,KGP1_HUMAN
Q14004,CDK13_HUMAN
Q14012,KCC1A_HUMAN
Q14164,IKKE_HUMAN
